Animate, 1
GestureRecognitionDebug, 2
SortTime, 1
GestureRecognitionType, 2
SelectInSpace, 3
DecorateWidth, 4
ImportXML, 26
Display, 100
Offset, 6
GestureRecognitionTime, 1
RecognizeHandwriting, 17
AddInteractivity, 1
ExportXML, 4
Decorate, 3
CountStrokes, 1
OverlayOnImage, 7
GestureRecognitionSize, 4
Locate, 13
ExportImage, 7
Scale, 44
GestureRecognitionDirection, 2
DecorateColor, 31
LocateCenter, 1
ClusterInSpace, 1
