Melody,,InkPanel,Display,YES,NO,updateInkToScreen20,
Melody,,InkPanel,Display,YES,NO,updateInkToScreen21,
Melody,,InkPanel,Display,YES,NO,updateInkToScreen22,
Melody,,InkPanel,Display,YES,NO,updateInkToScreen23,
Melody,,InkPanel,Display,YES,NO,updateInkToScreen24,
Melody,,InkPanel,Display,YES,NO,updateInkToScreen25,
Melody,,InkPanel,Display,YES,NO,updateInkToScreen26,
Melody,InkCollector.java (22 matches),InkCollector; PenSample,Scale,NO,YES,filterEvent,71
Melody,CS160MapPanel.java (7 matches),Ink; InkStroke,Scale; Decorate; OverlayOnImage; Display,NO,YES,paintComponent,
BluJay,FlashCardSwingUI.java (29 matches),InkWell,Scale,NO,YES,Constructor,122
BluJay,,InkWell,Scale,NO,YES,Constructor,136
BluJay,,Ink,DecorateColor,YES,NO,updateInkToScreen,
BluJay,,InkPanel,Display,NO,YES,updateInkToScreen,
BluJay,,Ink,DecorateColor,YES,NO,updateInkToScreenb,
BluJay,,InkPanel,Display,NO,YES,updateInkToScreenb,
BluJay,,Ink; InkCollector,ExportImage,NO,YES,render2JPEG,310
BluJay,InkPanel.java (13 matches),Ink; InkStroke,Offset; Display; DecorateColor,NO,YES,paintComponent,
Jigsaw,JigsawPiece.java (14 matches),InkStroke,Display; Scale; Offset,NO,YES,drawStrokes,300
Jigsaw,,PPath ,AddInteractivity,NO,YES,drawStrokes,
Jigsaw,,Ink,ExportXML,NO,YES,toXML,
Jigsaw,JigsawProjectDataHandler.java (7 matches),InkStroke,ImportXML,NO,YES,endElement,
Jigsaw,JigsawStrokeDataHandler.java (7 matches),InkStroke,ImportXML,NO,YES,endElement,
Jigsaw,JpegGenerator.java (4 matches),InkStroke,ExportImage; Offset; Scale,NO,YES,exportJPEG,
ET,AnswerKeyUI.java (14 matches),Ink; InkPanel,DecorateColor; Display,YES,NO,updateInkToScreen,
ET,AnswerKeyUIPanel.java (7 matches),Ink; InkStroke,Display; DecorateColor,NO,YES,paintComponent,
ET,InkCollector.java (22 matches),PenSample,Scale,NO,YES,filterEvent,
4Corners,FourCornersPanel.java (293 matches),InkStroke,ImportXML,NO,YES,makeBlogPanel,
4Corners,,InkPanel,Display,YES,NO,makeBlogPanel,
4Corners,,InkStroke,ImportXML,NO,YES,makeBlogPanel,
4Corners,,InkPanel,Display,YES,NO,makeBlogPanel,223
4Corners,,InkStroke,ImportXML,NO,YES,makeBlogPanel,
4Corners,,InkPanel,Display,YES,NO,makeBlogPanel,
4Corners,,InkStroke,ImportXML,NO,YES,makeDraftPanel,
4Corners,,InkPanel,Display,YES,NO,makeDraftPanel,369
4Corners,,InkStroke,ImportXML,NO,YES,makeDraftPanel,
4Corners,,InkPanel,Display,YES,NO,makeDraftPanel,
4Corners,,InkStroke,ImportXML,NO,YES,makeDraftPanel,
4Corners,,InkPanel,Display,YES,NO,makeDraftPanel,531
4Corners,,InkPanel,Display,YES,NO,savePanelForCancel,878
4Corners,,InkPanel,Display,YES,NO,restorePanelAfterCanel,
4Corners,,Ink,DecorateColor,YES,NO,actionPerformed,
4Corners,,Ink,DecorateColor,YES,NO,actionPerformed,
4Corners,,InkStroke,Locate,NO,YES,checkTick,
4Corners,,InkStroke,Locate,NO,YES,checkTick,1373
4Corners,,InkStroke,ImportXML,NO,YES,updateBlogPanel,
4Corners,,InkPanel,DecorateColor,YES,NO,updateBlogPanel,
