Severity and Description	Path	Resource	Location	Creation Time	Id
Type mismatch: cannot convert from P2JPanel to JPanel	GGiD/article_app	P2JUI.java	line 137	1185321654635	1059
ClickAdapter cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 140	1185321654635	1060
Region cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 151	1185321654635	1061
Type mismatch: cannot convert from P2JPanel to JPanel	GGiD/article_app	P2JUI.java	line 152	1185321654635	1062
InkCollector cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 154	1185321654635	1063
InkCollector cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 154	1185321654635	1064
ContentFilterListener cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 155	1185321654635	1065
Type mismatch: cannot convert from P2JPanel to JPanel	GGiD/article_app	P2JUI.java	line 171	1185321654635	1066
InkCollector cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 175	1185321654635	1067
InkCollector cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 175	1185321654635	1068
ContentFilterListener cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 176	1185321654635	1069
Type mismatch: cannot convert from P2JPanel to JPanel	GGiD/article_app	P2JUI.java	line 188	1185321654635	1070
InkCollector cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 192	1185321654635	1071
InkCollector cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 192	1185321654635	1072
ContentFilterListener cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 193	1185321654635	1073
Region cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 204	1185321654635	1074
Type mismatch: cannot convert from P2JPanel to JPanel	GGiD/article_app	P2JUI.java	line 205	1185321654635	1075
ClickAdapter cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 208	1185321654635	1076
TextRegion cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 269	1185321654635	1077
TextRegion cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 269	1185321654635	1078
Ink cannot be resolved to a type	GGiD/article_app	P2JUI.java	line 296	1185321654635	1079
The method repaint() is undefined for the type P2JPanel	GGiD/article_app	P2JUI.java	line 304	1185321654635	1080
